Principle,Guideline,Success Criterion,Level,Description,Test Method,Priority,Common Issues
3 Understandable,3.1 Readable,3.1.1 Language of Page,A,Page language is declared,HTML validation,Critical,Missing lang attribute
3 Understandable,3.1 Readable,3.1.2 Language of Parts,AA,Language changes within page marked,Screen reader test,Medium,Foreign phrases not marked
3 Understandable,3.2 Predictable,3.2.1 On Focus,A,Focus doesn't cause context change,Focus test,Critical,Auto-submit on focus
3 Understandable,3.2 Predictable,3.2.2 On Input,A,Input doesn't cause context change,Form test,Critical,Auto-redirect on selection
3 Understandable,3.2 Predictable,3.2.3 Consistent Navigation,AA,Navigation is consistent across pages,Cross-page audit,High,Nav changes location
3 Understandable,3.2 Predictable,3.2.4 Consistent Identification,AA,Same function has same labels,Cross-page audit,Medium,Search vs Find
3 Understandable,3.3 Input Assistance,3.3.1 Error Identification,A,Errors are identified in text,Form test,Critical,Color-only error indication
3 Understandable,3.3 Input Assistance,3.3.2 Labels or Instructions,A,Labels/instructions provided,Form test,Critical,Placeholder as only label
3 Understandable,3.3 Input Assistance,3.3.3 Error Suggestion,AA,Suggestions for error correction provided,Form test,High,"'Invalid input' only"
3 Understandable,3.3 Input Assistance,3.3.4 Error Prevention (Legal/Financial),AA,Review before submitting important data,Form test,Low,Not typical for directory
3 Understandable,3.3 Input Assistance,3.3.5 Help,AAA,Context-sensitive help available,Manual review,Recommended,Complex forms without help
4 Robust,4.1 Compatible,4.1.1 Parsing,A,HTML validates without errors,HTML validator,Critical,Invalid nesting
4 Robust,4.1 Compatible,4.1.2 Name/Role/Value,A,All components have name/role/value,Screen reader test,Critical,Custom components not accessible
4 Robust,4.1 Compatible,4.1.3 Status Messages,AA,Status messages announced without focus,Screen reader test,High,AJAX updates silent
